# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
1.128768000000000029e+03	-2.788408466912843562e-09	-6.420598685098058923e-10	2.861374259530211010e-09	3.433120356008619467e+01
1.128864000000000033e+03	-2.735710495332518013e-09	-5.989253588594117461e-10	2.800504150998060076e-09	3.434199102072525278e+01
1.128960000000000036e+03	-2.668394427517463696e-09	-5.526802233750864745e-10	2.725029220048142623e-09	3.435328609197917871e+01
1.129056000000000040e+03	-2.586475882010730688e-09	-5.042530119814052358e-10	2.635171453305364259e-09	3.436497680326630189e+01
1.129152000000000044e+03	-2.490221223405847687e-09	-4.546056925532472050e-10	2.531376715781895314e-09	3.437695123765731609e+01
1.129248000000000047e+03	-2.380145824112016865e-09	-4.047148590443726930e-10	2.414309064964379929e-09	3.438909225370329636e+01
1.129344000000000051e+03	-2.257008366204877382e-09	-3.555519296966594717e-10	2.284842213333303221e-09	3.440127086197613693e+01
1.129440000000000055e+03	-2.121800482879868926e-09	-3.080635646490853530e-10	2.144047678810699008e-09	3.441333698413875197e+01
1.129536000000000058e+03	-1.975732216190607588e-09	-2.631524082376037127e-10	1.993180117313711578e-09	3.442510618477162154e+01
1.129632000000000062e+03	-1.820213581206087947e-09	-2.216586412466875126e-10	1.833660283271255160e-09	3.443633967536550955e+01
1.129728000000000065e+03	-1.656832144384641417e-09	-1.843427922070208340e-10	1.667055793818818153e-09	3.444671272278375795e+01
1.129824000000000069e+03	-1.487327449309248235e-09	-1.518704638756705382e-10	1.495061062052839946e-09	3.445576222810333888e+01
1.129920000000000073e+03	-1.313562253636996991e-09	-1.247990994999361247e-10	1.319477400115629588e-09	3.446279538158737665e+01
1.130016000000000076e+03	-1.137491221123031503e-09	-1.035671863911208383e-10	1.142196322979958886e-09	3.446672076128832174e+01
1.130112000000000080e+03	-9.611276089671711949e-10	-8.848609698804272807e-11	9.651922451403808482e-10	3.446571310785247988e+01
1.130208000000000084e+03	-7.865086702863334041e-10	-7.973485297672047082e-11	7.905400275854445626e-10	3.445648614477219240e+01
1.130304000000000087e+03	-6.156597815445052022e-10	-7.735793431926829813e-11	6.205007788984411362e-10	3.443252379406983721e+01
1.130400000000000091e+03	-4.505589729075927986e-10	-8.126583412459479705e-11	4.578291426542341486e-10	3.437907108428680658e+01
1.130496000000000095e+03	-2.931016619774071554e-10	-9.123868194387049781e-11	3.069740727435673859e-10	3.425573995567928165e+01
1.130592000000000098e+03	-1.450663946703028065e-10	-1.069327136440071350e-10	1.802189338274735349e-10	3.392230623863797945e+01
1.130688000000000102e+03	-8.083108711281613385e-12	-1.278889938941774770e-10	1.281441820985383623e-10	3.304984300177071788e+01
1.130784000000000106e+03	1.163968121781925286e-10	-1.535448617120143774e-10	1.926765228132556951e-10	3.233808082098220638e+01
1.130880000000000109e+03	2.271268480069021095e-10	-1.832471337495379827e-10	2.918323441857867022e-10	3.209480326880100165e+01
1.130976000000000113e+03	3.230880941920947230e-10	-2.162668719081707484e-10	3.887895015218710905e-10	3.200580132375777964e+01
1.131072000000000116e+03	4.035079582688747043e-10	-2.518157793541098057e-10	4.756362676647288756e-10	3.197385425322197250e+01
1.131168000000000120e+03	4.678738240374673458e-10	-2.890632297109671174e-10	5.499667862611144572e-10	3.196934823862262931e+01
1.131264000000000124e+03	5.159422472759863708e-10	-3.271538533715137712e-10	6.109222915396236865e-10	3.198103583916493164e+01
1.131360000000000127e+03	5.477428713148870022e-10	-3.652252427157238363e-10	6.583401332085385565e-10	3.200400917786221555e+01
1.131456000000000131e+03	5.635768398896902102e-10	-4.024254817030600376e-10	6.925064063125982497e-10	3.203602396507579186e+01
1.131552000000000135e+03	5.640104282664421786e-10	-4.379299760310075301e-10	7.140661223582969722e-10	3.207614637652856260e+01
1.131647999999999911e+03	5.498632118417623339e-10	-4.709573643534640969e-10	7.239823138555943712e-10	3.212418160208515161e+01
1.131743999999999915e+03	5.221915434828811590e-10	-5.007842138553661430e-10	7.235114628889931266e-10	3.218040122637928135e+01
