# # Time 	 Separation 	 Orbital Phase 
# 
3.079680000000000177e+02	8.800579205443481712e+00	9.535634191871755760e+00
3.080640000000000214e+02	8.800450015166259021e+00	9.538941644645442253e+00
3.081600000000000250e+02	8.800320568446768021e+00	9.542249637372560045e+00
3.082559999999999718e+02	8.800190028026250388e+00	9.545556468100462766e+00
3.083519999999999754e+02	8.800058942814683149e+00	9.548863396317969432e+00
3.084479999999999791e+02	8.799925679161866299e+00	9.552169962307766937e+00
3.085439999999999827e+02	8.799791333567002383e+00	9.555475969079838094e+00
3.086399999999999864e+02	8.799656459442569911e+00	9.558782262933899432e+00
3.087359999999999900e+02	8.799520717606105435e+00	9.562087459485725915e+00
3.088319999999999936e+02	8.799384740584489606e+00	9.565393203086127727e+00
3.089279999999999973e+02	8.799247814568863291e+00	9.568698035340243990e+00
3.090240000000000009e+02	8.799110468282220765e+00	9.572002753095480543e+00
3.091200000000000045e+02	8.798972544609551250e+00	9.575307295571576560e+00
3.092160000000000082e+02	8.798833895717971032e+00	9.578610920456178235e+00
3.093120000000000118e+02	8.798695013616070426e+00	9.581915092880496587e+00
3.094080000000000155e+02	8.798555296372439827e+00	9.585218088422246652e+00
3.095040000000000191e+02	8.798415403206062635e+00	9.588521360357757928e+00
3.096000000000000227e+02	8.798274797650552870e+00	9.591823984956471705e+00
3.096960000000000264e+02	8.798133470499289288e+00	9.595126101959799314e+00
3.097919999999999732e+02	8.797991803539455091e+00	9.598428376827319752e+00
3.098879999999999768e+02	8.797848985257964216e+00	9.601729502229167323e+00
3.099839999999999804e+02	8.797705967173842012e+00	9.605031249752812528e+00
3.100799999999999841e+02	8.797561686487448185e+00	9.608331957621881969e+00
3.101759999999999877e+02	8.797416357773382600e+00	9.611632670917138910e+00
3.102719999999999914e+02	8.797268758341296291e+00	9.614933416345424533e+00
3.103679999999999950e+02	8.797119739854467824e+00	9.618233384831428978e+00
3.104639999999999986e+02	8.796970654712293225e+00	9.621533987931703891e+00
3.105600000000000023e+02	8.796820294059376266e+00	9.624833508038445729e+00
3.106560000000000059e+02	8.796669623259417037e+00	9.628133393499457071e+00
3.107520000000000095e+02	8.796518436475619040e+00	9.631432720065447484e+00
3.108480000000000132e+02	8.796366648858569448e+00	9.634731571233020375e+00
3.109440000000000168e+02	8.796214462101614728e+00	9.638030673873910104e+00
3.110400000000000205e+02	8.796061564250722498e+00	9.641328638474790935e+00
3.111360000000000241e+02	8.795908331067288088e+00	9.644627227270058611e+00
3.112320000000000277e+02	8.795754411885596369e+00	9.647924825098671775e+00
3.113279999999999745e+02	8.795599506900829923e+00	9.651222314477239550e+00
3.114239999999999782e+02	8.795444073631868420e+00	9.654519703789350871e+00
3.115199999999999818e+02	8.795285671543233263e+00	9.657816434537640049e+00
3.116159999999999854e+02	8.795126778136951984e+00	9.661113954719995789e+00
3.117119999999999891e+02	8.794966902685082744e+00	9.664410447366842405e+00
3.118079999999999927e+02	8.794806587717181046e+00	9.667707200836400006e+00
3.119039999999999964e+02	8.794646069568887725e+00	9.671003539328863141e+00
3.120000000000000000e+02	8.794484715381129192e+00	9.674299230199000732e+00
