# # Time 	 Separation 	 Orbital Phase 
# 
8.995199999999999818e+02	8.073512863659356128e-15	1.366728828053242069e+02
8.997599999999999909e+02	7.988503256807089180e-15	1.366766522752546962e+02
9.000000000000000000e+02	7.908446663963394922e-15	1.366795472516282928e+02
9.002400000000000091e+02	7.832032815071036008e-15	1.366814979490502822e+02
9.004800000000000182e+02	7.836169908022874467e-15	1.398005846237400647e+02
9.007200000000000273e+02	7.767427113411831903e-15	1.398002779808563218e+02
9.009600000000000364e+02	7.744395890948394740e-15	1.397867834736493080e+02
9.012000000000000455e+02	7.685722051648127849e-15	1.397839737297015574e+02
9.014400000000000546e+02	7.512946614074688002e-15	1.398161862367821584e+02
9.016799999999999500e+02	7.460464751123186937e-15	1.398115496190370379e+02
9.019199999999999591e+02	7.411824044945499836e-15	1.398057652083300866e+02
9.021599999999999682e+02	7.290638227331103698e-15	1.398238864435974733e+02
9.023999999999999773e+02	7.326123116745157779e-15	1.429326246082002854e+02
9.026399999999999864e+02	7.210339351797621967e-15	1.429485404910092541e+02
9.028799999999999955e+02	7.217306261161263610e-15	1.460674859474468121e+02
9.031200000000000045e+02	7.148633431611598393e-15	1.460689003126994692e+02
9.033600000000000136e+02	7.043375225312911687e-15	1.460821383203698076e+02
9.036000000000000227e+02	6.942646073491903875e-15	1.460946373804997620e+02
9.038400000000000318e+02	6.846340807234053086e-15	1.461065662353204004e+02
9.040800000000000409e+02	6.869358775209412087e-15	1.492188100176284138e+02
9.043200000000000500e+02	6.742968661978456286e-15	1.492416639098759390e+02
9.045599999999999454e+02	6.658683389220523128e-15	1.492504284687269944e+02
9.047999999999999545e+02	6.692111074198841143e-15	1.523585222751370054e+02
9.050399999999999636e+02	6.574310046090982920e-15	1.523788310180926828e+02
9.052799999999999727e+02	6.499362648753674201e-15	1.523844464070887454e+02
9.055199999999999818e+02	6.545534132762297168e-15	1.554887472965693007e+02
9.057599999999999909e+02	6.360551441291199761e-15	1.555346217583806094e+02
9.060000000000000000e+02	6.413447771621800718e-15	1.586356700718820321e+02
9.062400000000000091e+02	6.353075619110771812e-15	1.586367682186986769e+02
9.064800000000000182e+02	6.296038764143897255e-15	1.586368744734082838e+02
9.067200000000000273e+02	6.241841294098661175e-15	1.586359862659550402e+02
9.069600000000000364e+02	6.191677594921781387e-15	1.586342070795563473e+02
9.072000000000000455e+02	6.027310205588256416e-15	1.586760946874724141e+02
9.074400000000000546e+02	6.099471192068565534e-15	1.617687466265649618e+02
9.076799999999999500e+02	5.939863108770653047e-15	1.618091186689309211e+02
9.079199999999999591e+02	5.979498297956627546e-15	1.649142808679192740e+02
9.081599999999999682e+02	5.904065931211211959e-15	1.649223327332714746e+02
9.083999999999999773e+02	5.831898240586361380e-15	1.649297505764553478e+02
9.086399999999999864e+02	5.724766263197626398e-15	1.649518896729502160e+02
9.088799999999999955e+02	5.659864932401309489e-15	1.649577690566640911e+02
9.091200000000000045e+02	5.673818196977070708e-15	1.680718311921694124e+02
9.093600000000000136e+02	5.574704287354892253e-15	1.680915346571533178e+02
9.096000000000000227e+02	5.596162134949534411e-15	1.712029431886450652e+02
9.098400000000000318e+02	5.465440956863185078e-15	1.712370167475356766e+02
9.100800000000000409e+02	5.452726207099669705e-15	1.712199713657360292e+02
9.103200000000000500e+02	5.368433925742846284e-15	1.712360387821576069e+02
9.105599999999999454e+02	5.362702622291833878e-15	1.712168288564256784e+02
9.107999999999999545e+02	5.361478113325562311e-15	1.743381142146437526e+02
9.110399999999999636e+02	5.206082611272881409e-15	1.743854950862318276e+02
9.112799999999999727e+02	5.247053336643032518e-15	1.774870514686540162e+02
9.115199999999999818e+02	5.213706859284260035e-15	1.774803570901691785e+02
9.117599999999999909e+02	5.066141145624679733e-15	1.775257552536557739e+02
9.120000000000000000e+02	5.076428138018183279e-15	1.806402310698896372e+02
9.122400000000000091e+02	5.051759313716815182e-15	1.806295286638298023e+02
9.124800000000000182e+02	5.031535115260470631e-15	1.806179443672900220e+02
9.127200000000000273e+02	4.894171161090246985e-15	1.806601623682723528e+02
9.129600000000000364e+02	4.839612062027580183e-15	1.806649238577273877e+02
9.132000000000000455e+02	4.787807819804739955e-15	1.806689796621856772e+02
9.134400000000000546e+02	4.775667196656421205e-15	1.806527382113715134e+02
9.136799999999999500e+02	4.690998787858266429e-15	1.806739918963346838e+02
9.139199999999999591e+02	4.722045820315163586e-15	1.837775685399276426e+02
9.141599999999999682e+02	4.679678007938889382e-15	1.837771380543772466e+02
9.143999999999999773e+02	4.563021366767193077e-15	1.838151958644222077e+02
9.146399999999999864e+02	4.524230793471958688e-15	1.838130047335771735e+02
9.148799999999999955e+02	4.606583210330655995e-15	1.868910918636517806e+02
9.151200000000000045e+02	4.454735189833915161e-15	1.869461822400976132e+02
9.153600000000000136e+02	4.462521148478716035e-15	1.900614810348984065e+02
9.156000000000000227e+02	4.358474426965874501e-15	1.900961241569975755e+02
9.158400000000000318e+02	4.369393647770563042e-15	1.900671835359524664e+02
9.160800000000000409e+02	4.270817377744994485e-15	1.901006131090559279e+02
9.163200000000000500e+02	4.248126109659261567e-15	1.900904428232394423e+02
9.165599999999999454e+02	4.307942171080572152e-15	1.931782647693225385e+02
