# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
5.891999999999999318e+02	-2.288622324907535490e-05	4.484283784485822562e-06	2.332140681147515442e-05	3.475100607174437073e+01
5.894399999999999409e+02	-2.280617451199795626e-05	5.018937595907484450e-06	2.335190207377803469e-05	3.477413554133784146e+01
5.896799999999999500e+02	-2.271325722322413277e-05	5.552116534042624189e-06	2.338200273064590696e-05	3.479726175788565712e+01
5.899199999999999591e+02	-2.260744612013066348e-05	6.083473614782523414e-06	2.341164819692039738e-05	3.482038414369034740e+01
5.901599999999999682e+02	-2.248873910209698115e-05	6.612668169096873743e-06	2.344079279198493234e-05	3.484350241129075698e+01
5.903999999999999773e+02	-2.235715723800234893e-05	7.139365333781329576e-06	2.346940598170220695e-05	3.486661645553559197e+01
5.906399999999999864e+02	-2.221274412097156364e-05	7.663235495939637649e-06	2.349747177144779678e-05	3.488972625398709937e+01
5.908799999999999955e+02	-2.205556426793172129e-05	8.183953986747494365e-06	2.352498709955154547e-05	3.491283179671891190e+01
5.911200000000000045e+02	-2.188570037622461454e-05	8.701201205349158672e-06	2.355195922580217047e-05	3.493593306130861720e+01
5.913600000000000136e+02	-2.170324942792381293e-05	9.214663189538245639e-06	2.357840226621189781e-05	3.495903003975548984e+01
5.916000000000000227e+02	-2.150831783829755599e-05	9.724032480400859684e-06	2.360433315967896213e-05	3.498212281331787921e+01
5.918400000000000318e+02	-2.130101603626948523e-05	1.022900900139851689e-05	2.362976744126149035e-05	3.500521166146808127e+01
5.920799999999999272e+02	-2.108145300796619861e-05	1.072930062913499119e-05	2.365471523644796658e-05	3.502829718465496001e+01
5.923199999999999363e+02	-2.084973441013304233e-05	1.122462452265714836e-05	2.367918116505978568e-05	3.505138040806415489e+01
5.925599999999999454e+02	-2.060594627877366538e-05	1.171470176256964838e-05	2.370314872394928670e-05	3.507446294294189215e+01
5.927999999999999545e+02	-2.035017227248768409e-05	1.219926202927000069e-05	2.372659911531181426e-05	3.509754687769987669e+01
5.930399999999999636e+02	-2.008248034903457776e-05	1.267803859922173241e-05	2.374949851455217793e-05	3.512063490744989736e+01
5.932799999999999727e+02	-1.980292783667032613e-05	1.315076734370702281e-05	2.377180331049126674e-05	3.514373025286642616e+01
5.935199999999999818e+02	-1.951156511102405982e-05	1.361718544393762616e-05	2.379346365068184054e-05	3.516683657801595331e+01
5.937599999999999909e+02	-1.920844087101686136e-05	1.407703079233428998e-05	2.381442832871868084e-05	3.518995787602358405e+01
5.940000000000000000e+02	-1.889360860228270604e-05	1.453004223687913138e-05	2.383465068805797909e-05	3.521309832833100728e+01
5.942400000000000091e+02	-1.856713374127030682e-05	1.497596066761342295e-05	2.385409510512026719e-05	3.523626214208892549e+01
5.944800000000000182e+02	-1.822910101351241582e-05	1.541453080817313049e-05	2.387274353309560502e-05	3.525945336989166634e+01
5.947200000000000273e+02	-1.787962140717342844e-05	1.584550348710135744e-05	2.389060155005720302e-05	3.528267571733264418e+01
5.949599999999999227e+02	-1.751883825732256461e-05	1.626863813739420504e-05	2.390770337635352634e-05	3.530593234673550995e+01
5.951999999999999318e+02	-1.714693196796749175e-05	1.668370530558884132e-05	2.392411542017465546e-05	3.532922568894976223e+01
5.954399999999999409e+02	-1.676412346613653952e-05	1.709048749921183676e-05	2.393993731296274521e-05	3.535255721919469352e+01
5.956799999999999500e+02	-1.637067389511477432e-05	1.748878738980329053e-05	2.395530521921887033e-05	3.537592754551100427e+01
5.959199999999999591e+02	-1.596688464634906732e-05	1.787842078813258292e-05	2.397038454400239363e-05	3.539933603499699188e+01
5.961599999999999682e+02	-1.555309434948523716e-05	1.825922401025775052e-05	2.398537065172774645e-05	3.542278096281275168e+01
5.963999999999999773e+02	-1.512967421146164387e-05	1.863105358834014726e-05	2.400048331922858980e-05	3.544625949857378089e+01
5.966399999999999864e+02	-1.469702226512482115e-05	1.899378679815311128e-05	2.401596136729217327e-05	3.546976777400706027e+01
5.968799999999999955e+02	-1.425555678879897557e-05	1.934732130785301780e-05	2.403205653180717563e-05	3.549330098047723681e+01
5.971200000000000045e+02	-1.380570926229022541e-05	1.969157365595385344e-05	2.404902661819687698e-05	3.551685348377695561e+01
5.973600000000000136e+02	-1.334791714846487506e-05	2.002647630577297807e-05	2.406712790151681612e-05	3.554041894717131811e+01
5.976000000000000227e+02	-1.288261669657192143e-05	2.035197313048028278e-05	2.408660671939044602e-05	3.556399045970530182e+01
5.978400000000000318e+02	-1.241023588242281823e-05	2.066801334482690772e-05	2.410769027259389026e-05	3.558756067336291551e+01
5.980799999999999272e+02	-1.193118755702399208e-05	2.097454409100819552e-05	2.413057679266144160e-05	3.561112195768313882e+01
5.983199999999999363e+02	-1.144586288291010281e-05	2.127150207536340125e-05	2.415542542942617258e-05	3.563466658218956695e+01
5.985599999999999454e+02	-1.095462519630866773e-05	2.155880481176688154e-05	2.418234641434663355e-05	3.565818693464558464e+01
5.987999999999999545e+02	-1.045780452418406530e-05	2.183634213660968500e-05	2.421139222294166847e-05	3.568167577710813987e+01
5.990399999999999636e+02	-9.955693077425880130e-06	2.210396870907545744e-05	2.424255055359671976e-05	3.570512653343293863e+01
5.992799999999999727e+02	-9.448542098741382814e-06	2.236149819542862453e-05	2.427573993384847994e-05	3.572853359332221856e+01
5.995199999999999818e+02	-8.936560436395898295e-06	2.260869975623560943e-05	2.431080864761525165e-05	3.575189261123420437e+01
5.997599999999999909e+02	-8.419915129210261303e-06	2.284529731175186342e-05	2.434753745341488822e-05	3.577520077497579365e+01
6.000000000000000000e+02	-7.898734131444401453e-06	2.307097185742870512e-05	2.438564625605628959e-05	3.579845701919995093e+01
6.002400000000000091e+02	-7.373111103442076569e-06	2.328536685050101797e-05	2.442480453772583371e-05	3.582166216311666318e+01
6.004800000000000182e+02	-6.843111982477360896e-06	2.348809640917744795e-05	2.446464499091576404e-05	3.584481895856141165e+01
6.007200000000000273e+02	-6.308782866102773846e-06	2.367875578588075439e-05	2.450477946889164114e-05	3.586793204289870829e+01
6.009599999999999227e+02	-5.770158618178316381e-06	2.385693332819773053e-05	2.454481611878584017e-05	3.589100779979227696e+01
6.011999999999999318e+02	-5.227271563312994119e-06	2.402222296043998154e-05	2.458437641994830903e-05	3.591405413859108364e+01
6.014399999999999409e+02	-4.680156064252331503e-06	2.417423401847973414e-05	2.462310807282420990e-05	3.593708033670594659e+01
6.016799999999999500e+02	-4.128869632394547452e-06	2.431260895283336970e-05	2.466070798932388944e-05	3.596009621550546598e+01
6.019199999999999591e+02	-3.573478588350998179e-06	2.443702234253417786e-05	2.469691904248215409e-05	3.598311251790276089e+01
6.021599999999999682e+02	-3.014075320459731279e-06	2.454719085127186640e-05	2.473154319338301195e-05	3.600614008995626847e+01
6.023999999999999773e+02	-2.450777954675583072e-06	2.464287444461973678e-05	2.476444171541963816e-05	3.602918967616626844e+01
6.026399999999999864e+02	-1.883731770033920396e-06	2.472387571767069132e-05	2.479553338575844209e-05	3.605227163908401877e+01
6.028799999999999955e+02	-1.313109496532922328e-06	2.479003702917395197e-05	2.482478987741287130e-05	3.607539572932659411e+01
6.031200000000000045e+02	-7.391108093546507647e-07	2.484123629276592383e-05	2.485222938373006046e-05	3.609857090881848762e+01
6.033600000000000136e+02	-1.619613587087412447e-07	2.487738238303051201e-05	2.487790959291458841e-05	3.612180522239307123e+01
6.036000000000000227e+02	4.180883336506565061e-07	2.489841106524403626e-05	2.490192103891990049e-05	3.614510570598551453e+01
6.038400000000000318e+02	1.000763820687800345e-06	2.490428216598412114e-05	2.492438160572399024e-05	3.616847831487245202e+01
6.040799999999999272e+02	1.585767300791903693e-06	2.489497840388216977e-05	2.494543260122021591e-05	3.619192785393831002e+01
6.043199999999999363e+02	2.172777696295118308e-06	2.487050594898736441e-05	2.496523641138079331e-05	3.621545789444468966e+01
6.045599999999999454e+02	2.761450248910182318e-06	2.483089643389125719e-05	2.498397536798016715e-05	3.623907066820888900e+01
6.047999999999999545e+02	3.351415778138922787e-06	2.477620985590009439e-05	2.500185118229367184e-05	3.626276693951128038e+01
6.050399999999999636e+02	3.942279877250702368e-06	2.470653762954336965e-05	2.501908416130810942e-05	3.628654586571966689e+01
6.052799999999999727e+02	4.533622416702598679e-06	2.462200499706668365e-05	2.503591145320667458e-05	3.631040486728540628e+01
6.055199999999999818e+02	5.124997762019027101e-06	2.452277208254570714e-05	2.505258375244324471e-05	3.633433953414215978e+01
6.057599999999999909e+02	5.715936073047836687e-06	2.440903306326981702e-05	2.506936018878361142e-05	3.635834359680273309e+01
6.060000000000000000e+02	6.305945930470439144e-06	2.428101319292766679e-05	2.508650146499395980e-05	3.638240898587062588e+01
6.062400000000000091e+02	6.894518348143032394e-06	2.413896369787032250e-05	2.510426162347704191e-05	3.640652599384910815e+01
6.064800000000000182e+02	7.481132011206077621e-06	2.398315483364708080e-05	2.512287905363916660e-05	3.643068353998378939e+01
6.067200000000000273e+02	8.065269593636033456e-06	2.381386584491185484e-05	2.514256908308077669e-05	3.645486993243036977e+01
